,address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views,latitude,longitude
0,"173A Old Northern Road, Castle Hill, NSW",29/10/2018,1 Bathroom,Studio or Bachelor Pad,26/10/2018,26/10/2018,Yes,Female,https://www.gumtree.com.au/s-ad/castle-hill/flatshare-houseshare/fully-furnished-studio-with-separate-entrance-for-female/1199100188,Off Street,Yes,$280,No,"Fully furnished Studio with separate entrance available for female student or professional.,Offering a furnished 6-month-old studio to rent with bathroom, fully functioning kitchen including oven, fridge and washing machine for a female student or worker.,Furniture includes bed, study desk, wardrobe, etc.,Water, power and unlimited wifi are included in the rental.,We are located on Old Northern Road close to Castle Towers and bus stops.,Please ring me on ******0916 to discuss or inspect the room.",Fully furnished Studio with separate entrance for female,Houseshare,"Sanjeewa Fernando,Gummie since, ,2013","472, , views",-33.7300628,151.0172238
1,"Strathfield South, NSW",17/11/2018,,,45 minutes ago,45 minutes ago,Yes,,https://www.gumtree.com.au/s-ad/strathfield-south/flatshare-houseshare/brand-new-furnished-room-is-available-now-/1201218854,Street,No,$220,,"It’s only 12mins walk to Lidcombe train station, 10 mins walk to Tafe NSW Lidcombe and 15mins walk to University of Sydney Cumberland Campus, East st, Gate 2, Lidcombe. And only mins to the bus stop, shops, schools and many local amenities.,Good size neat and tidy bathroom.,Rent includes Gas, Water, Electricity and Wifi.,I can show you the house after work or weekend.",Brand new furnished room is available now!!!,Houseshare,"Tina,Gummie since, ,2014","6, , views",-33.8966667,151.0788889
2,Summer Hill NSW,17/11/2018,2 Bathrooms,3 Bedrooms,37 minutes ago,37 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/summer-hill/flatshare-houseshare/room-in-summer-hill-200-week-or-40-day-including-bills/1201219792,Off Street,No,$200,No,"Big room in Summer Hill for rent $200/week or $40/day including all bills.,All furniture and electric appliances WiFi are available, single bed, microwave, fridge and desk are available.,One minute to Bus stop and 8 minutes walking to Summer Hill railway station.,It’s only 8 kilometers to CBD, very closed to Sydney uni and UTS. Walking distance to Ashfield shopping center.,All long term and short term are welcome. If you interested, please call or text to Richard on ******0113,For inspection.",Room in Summer Hill $200/week or $40/day including bills,Houseshare,"richard,Gummie since, ,2013",,-33.8933952,151.1368729
3,Sydney NSW,26/11/2018,3 Bathrooms,4 Bedrooms,41 minutes ago,41 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/double-room-a-couple-furnished-hyde-park/1201219329,LUG,No,$400,No,"@ *******4111,Hello, we are searching for a clean couple who is looking for a home away from home.,The house is in a great location, just off William St. 5 min walk to St James station. Spacious living areas - garden area, kitchen, laundry, internet.,and more,Fully furnished with d bed, own TV and outdoor setting.,call or text us. come by for an inspection.,@ *******4111",Double Room a Couple - Furnished - Hyde Park,Houseshare,"Lili,4, ,ads,Gummie since, ,2011","0, , views",-33.8548157,151.2164539
4,"Strathfield South, NSW",17/11/2018,,,40 minutes ago,41 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/strathfield-south/flatshare-houseshare/a-brand-new-furnished-room-ensuite-is-available-now-/1201219379,Street,No,$250,,"It’s only 12mins walk to Lidcombe train station, 10 mins walk to Tafe NSW Lidcombe and 15mins walk to University of Sydney Cumberland Campus, East st, Gate 2, Lidcombe. And just mins walk to shops, schools and many local amenities.,Rent includes Gas, Water, Electricity and Wifi.,I can show you the house after work or weekend.",A brand new furnished room (ensuite) is available now :),Houseshare,"Tina,Gummie since, ,2014","4, , views",-33.8966667,151.0788889
5,"Woodville Rd, Merrylands NSW 2160, Australia",17/11/2018,2 Bathrooms,1 Bedroom,40 minutes ago,40 minutes ago,Yes,Male,https://www.gumtree.com.au/s-ad/granville/flatshare-houseshare/room-for-rent-in-merrylands/1201219494,Street,No,$175,No,"Looking for a quiet working MAN to stay in one large bedroom in a large clean house with quiet friendly males.6 month contract No smoking, no alcohol, no drugs, no criminal record.. If you are happy with these conditions please continue to read.,The room has built in wardrobe. Tiled floors. Ducted air conditioning. It’s a clean, modern house situated 5 minutes walk away from Merrylands Station. Bus stop across the road. Around the corner from Granville TAFE. Close by is McDonalds, Hungry Jac ks, KFC, Caltex and Granville Woolworths. Sharing a large open kitchen, dining and lounge room. $175 per week, NO BILLS to pay. Bond and in advance required. Inspection available. Call Youssef. ******** 591",Room for rent in merrylands,Houseshare,"Youssef,Gummie since, ,2012","3, , views",-33.8399011,150.9992777
6,"Belmore, NSW",18/11/2018,2 Bathrooms,2 Bedrooms,33 minutes ago,34 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/belmore/flatshare-houseshare/room-for-rent-furnished-/1201220305,Off Street,No,$210,No,"FURNISHED ROOM AVAILABLE FOR IMMEDIATE MOVE IN,UGLTRA MODERN NEAR NEW furnished 2 BEDROOM apartment to share with one professional male looking for an easy going, quiet and friendly female/male to rent fully private 2nd bedroom. Prefer Student,Room has single Bed and wardrobe,*Tiles in living area.,*ultra modern kitchen with stone bench tops,*2 balconies,*2 toilets,*Internal laundry with dryer.,*Big screen TV,*Fridge,Microwave, Dinning table and kitchen appliances,*Large balcony,*Located in the front of a small block,*5min walk to shops and Train station,Intercom,Modern Bathroom,No smoking or drink inside home,Room for one person but if you want to live 2 then $125 each.,If you are looking for 1 private room, pls text, call for more info,,Dont need to bring anything. Just move in!,Rent Price: $210/week for second bedroom. Phone and wifi internet bills included.,Bond: 3 weeks",Room for Rent ( Furnished ),Flatshare,"Rocky,Gummie since, ,2013","0, , views",-33.9194073,151.0878936
7,Maroubra,17/11/2018,2 Bathrooms,3 Bedrooms,32 minutes ago,32 minutes ago,Yes,Female,https://www.gumtree.com.au/s-ad/maroubra/flatshare-houseshare/double-room-in-maroubra-junction-female-only-/1201220461,LUG,No,$290,No,"AVAILABLE FROM TODAY,We looking for a flatmate to share three bedrooms apartment which is located at Maroubra Junction. Only 1-minute walk to the bus station, shops and school. Looking for a clean, respectful and friendly female to live in also who is reliable and pay rent on time.,The apartment has massive facilities including,Main with ensuite,All bedrooms with built-in wardrobes,Modern kitchen,Security block, lift swimming pool.,-2 weeks bond. Rent includes all bills.,Feel free to text me on ******9678",Double room in Maroubra Junction (Female only),Flatshare,"Icy Deng,Gummie since, ,2017","2, , views",-33.9453441,151.2456824
8,"Bondi, NSW",06/12/2018,1 Bathroom,1 Bedroom,32 minutes ago,26 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/bondi/flatshare-houseshare/room-for-rent-15-minutes-from-bondi/1201220491,Street,Yes,$250,,"2 Bedroom apartment,,3-6 month agreement,,Professional cleaned twice a month,,Double Bed,,Mirrored double wardrobe,,10 minute walk to Paradise Beach,,15 minute walk to Federation Cliff Walk,,Bus to Bondi Junction on the corner, bus to City 10 minute walk, Ferry services 15 minute walk.,Part family part young working neighbourhood",Room For Rent 15 minutes from Bondi,Flatshare,"Lawrence,Gummie since, ,2015","4, , views",-33.8930556,151.2633333
9,Merrylands NSW,09/12/2018,1 Bathroom,2 Bedrooms,28 minutes ago,17 minutes ago,Yes,Male,https://www.gumtree.com.au/s-ad/merrylands/flatshare-houseshare/single-room-to-rent-210-pw-flatshare/1201220980,,,$220,No,"39 Windsor Road, Merrylands. Single room for rent. 210/pw. if couple (negotiable). electricity, water, internet, all furniture and cooking utensils are included. Easy move in. 3 mins to Stocklands shopping centre and 11 mins to Merrylands Station. by walking 11 mins to Merrylands Station. Parking by request. Quiet and clean unit.",Single room to rent (210/pw) flatshare,Flatshare,"Ming-Hui Ma,Gummie since, ,2017","2, , views",-33.8350765,150.9860379
