web-scraper-order,web-scraper-start-url,titulo,titulo-href,company,rating,texto,pagination,pagination-href,date,location,dedication,category
"1539827433-703","https://www.seek.com.au/data-scientist-jobs","Senior Full Stack Engineer","https://www.seek.com.au/job/37291670?type=standard","Evolution Recruitment Solutions Pty Ltd","null","Senior Full Stack Engineer 
      
        Founded by two of the most successful tech entrepreneurs in Australia, this lucrative Aussie start up is going global with a big bang solving real-world problems with product that works!
        The tech stack is a mix of serverless microservices and large scale solutions developed in Typescript, NodeJS and AWS and ReactJS.
         
        About You: 
        Problem solving is at the heart of what you do. Your curious and take pride in working with your cohort and genuinely love the work you create.  You'll need experience of building and maintaining large scale systems. 
        The tech stack: 
        
          Node.js
          React 
          Typescript
          Serverless API's & AWS infrastructure 
          TDD 
        
        You don't necessarily need need experience in JS stack, so long as you've worked with programming languages with strong software engineering fundamentals and you want to work with Javascript! 
         
        What's in it for you? 
        
          Join as one of the first Senior's in the team, working amongst other Product Engineers, Data Scientists, UX Designers and humans from spots like Atlassian, Spotify and Qantas as an integral part of a visionary organisation.
          Make technology decisions that matter and directly impact users! 
          Access to cutting edge technology 
          On-site chef
          Brand new office complete with office pup 
          Flexible leave and working hours 
          Opportunity to grow, learn and realise your potential 
        
         
        What next? 
        If you'd like to find out more about how you can be a part of this awesome journey, get in touch! Send your CV to jasmine.alderton@evolutionjobs.com.au or you can reach me on 02 8223 2804! 
         
        If this role isn't quite right but you'd like to find out more about some of the other companies we work with go ahead and submit your CV and we'll give you a call.
         
        Evolution do not discriminate on the basis of race, sex, religion, age, disability or anything else for that matter - we run an all-inclusion philosophy! 
         
        Have a great rest of your day, the Evolution team. 
         
         
      
      Jasmine Alderton 
jasmine.alderton@evolutionjobs.com.au / 02 8223 2804 
    
  
Founded by two of the most successful tech entrepreneurs in Australia, this lucrative Aussie start up is going global with a big bang solving real-world problems with product that works! The tech stack is a mix of serverless microservices and large scale solutions developed in Typescript, NodeJS and AWS and ReactJS.   About You:  Problem solving is at the heart of what you do. Your curious and take pride in working with your cohort and genuinely love the work you create.  You'll need experience of building and maintaining large scale systems.  The tech stack:   Node.js React  Typescript Serverless API's & AWS infrastructure  TDD  You don't necessarily need need experience in JS stack, so long as you've worked with programming languages with strong software engineering fundamentals and you want to work with Javascript!    What's in it for you?   Join as one of the first Senior's in the team, working amongst other Product Engineers, Data Scientists, UX Designers and humans from spots like Atlassian, Spotify and Qantas as an integral part of a visionary organisation. Make technology decisions that matter and directly impact users!  Access to cutting edge technology  On-site chef Brand new office complete with office pup  Flexible leave and working hours  Opportunity to grow, learn and realise your potential    What next?  If you'd like to find out more about how you can be a part of this awesome journey, get in touch! Send your CV to jasmine.alderton@evolutionjobs.com.au or you can reach me on 02 8223 2804!    If this role isn't quite right but you'd like to find out more about some of the other companies we work with go ahead and submit your CV and we'll give you a call.   Evolution do not discriminate on the basis of race, sex, religion, age, disability or anything else for that matter - we run an all-inclusion philosophy!    Have a great rest of your day, the Evolution team.","Next","https://www.seek.com.au/data-scientist-jobs?page=16","21 Sep 2018","Sydney, CBD, Inner West & Eastern Suburbs","Full Time","$100,000 - $140,000 plus super + equity"
"1539827798-989","https://www.seek.com.au/data-scientist-jobs","Data Scientist - Melbourne","https://www.seek.com.au/job/37265619?type=standout","EY","3.7 overall rating (209 employee reviews)","Data Scientist - Melbourne 
      About us
EY DnA is the data and advanced analytics capability within EY Asia-Pacific working in multiple sectors including financial services, government & public sector, energy, mining & metals, and consumer products.
        We have more than 400 specialist staff in Australia, New Zealand, Singapore, Hong Kong, Korea, The Philippines and Malaysia.
  
EY DnA is looking for Data Scientist who enjoy a challenge and are keen to work in a professional
        and collaborative environment.
 
About the role 
Our Advanced Analytics practice in Melbourne is looking for a talented, inquisitive and proactive Data Scientist to join our team.  
You will be
        joining a growing team of data scientists and analytics experts working on some of the most exciting projects in the country.  We don't just talk about big data and analytics, we bring it to life for our clients. 
 
The advanced
        analytics practice works on the design, development and delivery of the most innovative solutions for our clients. You will be using various machine learning techniques such as Linear Regression, Random Forests, Neural Networks etc. to analyse
        multiple sources of structured, semi-structured and unstructured data. 
 
Ideally you will have a background in Maths and/or Statistics, a good flare to present complex algorithms and concepts in a simple format and an understanding
        of the commercial value, the data provides the client. 
          
About You
You will demonstrate previous experience in: 
        
          Applying computer-aided statistical modelling to solve business problems
          Machine learning, data mining and information retrieval.
          Extracting information from a wide variety of sources including quantitative, qualitative and big data sources
          At least one of the following modelling software packages: MATLAB, R, SAS, SPSS.
          At least one of the following scripting languages: C++, Java, Python.
          Data visualisation using Tableau / Qlikview / D3.js  
          Demonstrating your ability to adapt quickly and manage an environment of rapid change and development, and lead others through this process
          Tertiary qualifications (a Masters or PhD degree) in a quantitative discipline, such as Statistics, Econometrics, Applied Mathematics, Engineering, Applied Science., or equivalent highly desired.
        
 
What We Will Provide You:
 We strive to recruit the best people. This means you will be surrounded by highly skilled and passionate individuals wherever you go at EY.
  
 When you join our team, you
        open the door to a stimulating international career. It is rewarding to be part of an organisation that is at the forefront of analytics. You will get a chance to work on and support sophisticated and market-leading products. We are a global organisation
        with a promising future and lots of opportunities for you to evolve and grow. A culture where respect, integrity and teaming define the way we work together. You'll also find support for your continuous growth and success.
  
 For a
        career move that expands your horizons, apply today and join a firm that is committed to building an inclusive culture that supports a diverse workforce, helping you to gain experiences that will set you up for a lifetime.
  
APPLY NOW!
        Across every part of EY, we dig deeper in pursuit of better working. Does better begin with you? Click apply online to find out.
  
 The preferred applicant will be subject to employment screening by Ernst & Young or by their external
        third party provider.
  
 © 2015 Ernst & Young Australia. All Rights Reserved.
 
        
         
      
    
    
  
About us
EY DnA is the data and advanced analytics capability within EY Asia-Pacific working in multiple sectors including financial services, government & public sector, energy, mining & metals, and consumer products. We have more than 400 specialist staff in Australia, New Zealand, Singapore, Hong Kong, Korea, The Philippines and Malaysia.
  
EY DnA is looking for Data Scientist who enjoy a challenge and are keen to work in a professional and collaborative environment.
 
About the role 
Our Advanced Analytics practice in Melbourne is looking for a talented, inquisitive and proactive Data Scientist to join our team.  
You will be joining a growing team of data scientists and analytics experts working on some of the most exciting projects in the country.  We don't just talk about big data and analytics, we bring it to life for our clients. 
 
The advanced analytics practice works on the design, development and delivery of the most innovative solutions for our clients. You will be using various machine learning techniques such as Linear Regression, Random Forests, Neural Networks etc. to analyse multiple sources of structured, semi-structured and unstructured data. 
 
Ideally you will have a background in Maths and/or Statistics, a good flare to present complex algorithms and concepts in a simple format and an understanding of the commercial value, the data provides the client.   
About You
You will demonstrate previous experience in: Applying computer-aided statistical modelling to solve business problems Machine learning, data mining and information retrieval. Extracting information from a wide variety of sources including quantitative, qualitative and big data sources At least one of the following modelling software packages: MATLAB, R, SAS, SPSS. At least one of the following scripting languages: C++, Java, Python. Data visualisation using Tableau / Qlikview / D3.js   Demonstrating your ability to adapt quickly and manage an environment of rapid change and development, and lead others through this process Tertiary qualifications (a Masters or PhD degree) in a quantitative discipline, such as Statistics, Econometrics, Applied Mathematics, Engineering, Applied Science., or equivalent highly desired. 
 
What We Will Provide You:
 We strive to recruit the best people. This means you will be surrounded by highly skilled and passionate individuals wherever you go at EY.
  
 When you join our team, you open the door to a stimulating international career. It is rewarding to be part of an organisation that is at the forefront of analytics. You will get a chance to work on and support sophisticated and market-leading products. We are a global organisation with a promising future and lots of opportunities for you to evolve and grow. A culture where respect, integrity and teaming define the way we work together. You'll also find support for your continuous growth and success.
  
 For a career move that expands your horizons, apply today and join a firm that is committed to building an inclusive culture that supports a diverse workforce, helping you to gain experiences that will set you up for a lifetime.
  
APPLY NOW!
 Across every part of EY, we dig deeper in pursuit of better working. Does better begin with you? Click apply online to find out.
  
 The preferred applicant will be subject to employment screening by Ernst & Young or by their external third party provider.
  
 © 2015 Ernst & Young Australia. All Rights Reserved.","Next","https://www.seek.com.au/data-scientist-jobs?page=9","19 Sep 2018","Melbourne","Full Time","Consulting & Strategy, Analysts"
"1539828134-1251","https://www.seek.com.au/data-scientist-jobs","Data Scientist - AI/Machine Learning","https://www.seek.com.au/job/37448458?type=standout","Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!","null","Data Scientist - AI/Machine Learning 
      
        
          2 month contract
          Permanent Residents eligible to apply
          AI/Machine Learning
        About the Organisation

Our client is one of the world's foremost providers of consulting, technology, outsourcing services and local professional services. 

Key Responsibilities
        
          You will interact with clients to gather requirements, design solution framework, program, develop and present analysis, tools or solutions.
          You will perform activities like data extract, transform and load, data quality assessment, data cleansing and enhancing, complex data transformation, relationship profiling, sampling and extrapolation, segmentation.
          You will develop solutions that heavily utilise tools and technologies such as R, Python, SAS, Tensor flow, Azure Machine learning, Spark, Hive.
          Build functional solutions that incorporate and perform Real time analytics, Predictive analytics, Big data analytics, Statistical modelling, Machine Learning, Deep Learning, Natural Language Processing and Artificial Intelligence.
          You will consult stakeholders on how to improve decision making using data driven insights that can lead to better customer outcomes.
        Skills & Experience
        
        
          Experience using statistical techniques to manipulate data and draw insights from large data sets.
          Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
          Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
        
How to Apply
        
        

To apply for this opportunity, please submit your application to Isabelle Barling at Talent International by clicking the ""APPLY NOW' button below. Alternatively, you can contact Isabelle on 02 6285 3500 or isabelle.barling@talentinternational.com
        for further information.
  
    
    Suite 1, 35 Geils Court
 Canberra, ACT, 2600
 AUSTRALIA
 
 p: +61 (0) 2 6285 3500 f: +61 (0) 2 6285 3400 
  
2 month contractPermanent Residents eligible to applyAI/Machine LearningAbout the Organisation

Our client is one of the world's foremost providers of consulting, technology, outsourcing services and local professional services. 

Key ResponsibilitiesYou will interact with clients to gather requirements, design solution framework, program, develop and present analysis, tools or solutions.You will perform activities like data extract, transform and load, data quality assessment, data cleansing and enhancing, complex data transformation, relationship profiling, sampling and extrapolation, segmentation.You will develop solutions that heavily utilise tools and technologies such as R, Python, SAS, Tensor flow, Azure Machine learning, Spark, Hive.Build functional solutions that incorporate and perform Real time analytics, Predictive analytics, Big data analytics, Statistical modelling, Machine Learning, Deep Learning, Natural Language Processing and Artificial Intelligence.You will consult stakeholders on how to improve decision making using data driven insights that can lead to better customer outcomes.Skills & ExperienceExperience using statistical techniques to manipulate data and draw insights from large data sets.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
How to Apply

To apply for this opportunity, please submit your application to Isabelle Barling at Talent International by clicking the ""APPLY NOW' button below. Alternatively, you can contact Isabelle on 02 6285 3500 or isabelle.barling@talentinternational.com for further information.","Next","https://www.seek.com.au/data-scientist-jobs?page=2","12 Oct 2018","ACT","Contract/Temp","Information & Communication Technology, Consultants"
"1539827752-953","https://www.seek.com.au/data-scientist-jobs","Data Science Consultant - Alteryx & DataRobot","https://www.seek.com.au/job/37434519?type=standout","Ethos BeathChapman","null","Right to live and workYou must have the right to live and work in this location to apply for this job.Report this job advertBe careful- Don’t provide your bank or credit card details when applying for jobs. If you see something suspicious report this job ad.","Next","https://www.seek.com.au/data-scientist-jobs?page=10","10 Oct 2018","Sydney, CBD, Inner West & Eastern Suburbs","Full Time","Information & Communication Technology, Developers/Programmers"
"1539827587-825","https://www.seek.com.au/data-scientist-jobs","Data Engineer - 12 month contract","https://www.seek.com.au/job/37412918?type=standard","Greythorn Experis","null","Report this job advertBe careful- Don’t provide your bank or credit card details when applying for jobs. If you see something suspicious report this job ad.","Next","https://www.seek.com.au/data-scientist-jobs?page=13","8 Oct 2018","Melbourne","Contract/Temp","Information & Communication Technology, Database Development & Administration"
"1539827885-1060","https://www.seek.com.au/data-scientist-jobs","Graduate GIS Analyst / Data Scientist","https://www.seek.com.au/job/37322225?type=standard","Indicatrix","null","About us
Indicatrix is on a mission to improve the way governments, businesses and individuals visualise and interact with complex data to shape the way our cities, towns and neighbourhoods grow, re-develop and prosper.  We believe that communication is the key to better decision making, and our platforms provide the canvas to empower positive urban change.  About the role
We’re looking for someone who is passionate about communicating with spatial data to join our growing team. The team is small, so you’ll be someone who can work independently to make a big impact. You’ll be working on developing new, unique visualisations and maintaining our existing dataset catalog.  What you’ll work on  Maintaining and updating our extensive data catalogue. Integrating and processing partner GIS data. Building visualisations to communicate with data. You’d be a good fit if:  You’re keen to learn - we don’t expect a lot of experience. You’re resourceful - we’re a small company, and we help each other wherever it is needed. You have an understanding of SQL and using PostGIS for spatial analysis.  You have built web spatial visualisations using tools like Carto or Mapbox, or have built dashboards using d3 or similar. You may be familiar with:   Git and Github for source control.  Python, Ruby or R.  Functional programming, including Haskell, Elm or Elixr. Town planning and urban development. Transport modelling. To Apply
Please send us your CV and include a cover letter addressed to Laurie Nicol. Successful candidates will be issued with a task to complete prior to in-person interviews. To be considered for either of these roles you will need unlimited work rights in Australia.","Next","https://www.seek.com.au/data-scientist-jobs?page=7","26 Sep 2018","Brisbane, CBD & Inner Suburbs","Full Time","Information & Communication Technology, Developers/Programmers"
"1539827810-999","https://www.seek.com.au/data-scientist-jobs","Senior data scientist/machine learning engineer","https://www.seek.com.au/job/37264847?type=standout","Intellify","null","Job InformationJob Listing Date19 Sep 2018LocationSydney, CBD, Inner West & Eastern SuburbsSalary$120,000 - $149,999 + super + profit shareWork TypeFull TimeClassificationInformation & Communication Technology, Other","Next","https://www.seek.com.au/data-scientist-jobs?page=9","19 Sep 2018","Sydney, CBD, Inner West & Eastern Suburbs","Full Time","$120,000 - $149,999 + super + profit share"
"1539828159-1270","https://www.seek.com.au/data-scientist-jobs","Lead Data Scientist","https://www.seek.com.au/job/37450384?type=standout","Onset Group","null","Lead Data Scientist 
      
        
          What you'll be doing:

Collaborating with Australia's leading Data Scientists, Analysts, Actuaries and Big Data Engineer's to push technical boundaries and create platform advantage. 

Your teams'
            mission is to deliver value from the markets most competitive Data Science platform. 

You will not be so hands on in this role, as this position is more about mentoring, leading and galvanising a team of analysts with best practice
            front of mind.  


A bit about you: 

Ideally you've come from an environment where there's lots of data science work being done and where big data technologies are being utilised daily. 

Curiosity
            and a thirst to push tech to its limits gets you out of bed. 

You love the idea of working with an inspiring team, in a progressive global business and pushing others to excel in their careers. 


Experience required:

            
              Big Data (e.g. Python, Scala, Spark, Hadoop)
              5 + years Data Science / Analytics 
              People leadership
              University Qualifications in Engineering, Statistics, Actuarial or related
             
About the culture: 

The organisation breeds excellence and rewards high achievers with good bonuses. 

There are also a host of other company benefits including health insurance discounts as
            well as conference and education allowances. 

 
Interested? 

Contact ronny@theonset.com.au or on 0448 808 848
        
      
      Ronny Haughton
0448 808 848 
    
    The Onset offers the Global Digital Technology (Dig-Tech) community a unique & 100% Human focussed recruitment model.
 
 Let's work together.
 
 www.theonset.com.au

      #theonset
  
 What you'll be doing:

Collaborating with Australia's leading Data Scientists, Analysts, Actuaries and Big Data Engineer's to push technical boundaries and create platform advantage. 

Your teams' mission is to deliver value from the markets most competitive Data Science platform. 

You will not be so hands on in this role, as this position is more about mentoring, leading and galvanising a team of analysts with best practice front of mind.  


A bit about you: 

Ideally you've come from an environment where there's lots of data science work being done and where big data technologies are being utilised daily. 

Curiosity and a thirst to push tech to its limits gets you out of bed. 

You love the idea of working with an inspiring team, in a progressive global business and pushing others to excel in their careers. 


Experience required:
  Big Data (e.g. Python, Scala, Spark, Hadoop) 5 + years Data Science / Analytics  People leadership University Qualifications in Engineering, Statistics, Actuarial or related  
About the culture: 

The organisation breeds excellence and rewards high achievers with good bonuses. 

There are also a host of other company benefits including health insurance discounts as well as conference and education allowances. 

 
Interested? 

Contact ronny@theonset.com.au or on 0448 808 848","Next","https://www.seek.com.au/data-scientist-jobs?page=2","12 Oct 2018","Sydney, CBD, Inner West & Eastern Suburbs","Full Time","$160,000 - $170,000 Inclusive"
"1539828137-1253","https://www.seek.com.au/data-scientist-jobs","Data Scientist - Machine learning - Federal Government","https://www.seek.com.au/job/37438144?type=standard","HiTech Personnel","null","Data Scientist - Machine learning - Federal Government 
         
        
          
            Progressive Government Department
            Initial 12 Month Contract + long term Extension
            Rewarding Hourly Rates $$
          
          A highly regarded Federal Government Departments is looking to engage an experienced Data Scientist to join a highly skilled team involved in understanding business needs. You will be responsible for developing machine
            learning models and other analytical solutions to solve problems using data science techniques. The successful Data Scientist will be offered an Initial 12 month contract + Extension at a premium hourly rate. 

The successful Data Scientist will be responsible for, but not limited to ;
          
            Using statistical and data mining techniques to analyse data to provide insights into current and emerging ML/TF risks and issues
            Developing, implementing, deploying, testing and evaluating machine learning models to model risk
            Conducting detailed analysis and other data to support the development of risk assessments
            Performing data wrangling and creating data pipelines, integrating diverse disparate datasets
            Appling advanced data science techniques i.e. machine learning, graph analytics, data visualisation, text analytics plus development of custom algorithms
          
          
The successful Data Scientist must have experience in the following
          
            Industry experience in development of big data analytics solutions using Scala and Apache Spark
            Demonstrated Industry experience in programming using one or more of R, Python or Scala in creating complex analytic models
            Knowledge and experience in delivering data science solutions to improve business outcomes
            Degree in data science (machine learning, artificial intelligence) or a related field e.g. applied mathematics, statistics, computer science is a bonus
          
          This is a rare opportunity for an experienced Data Scientist to join a reputable organisation. The successful Data Scientist will be offered an initial 12 Month Contract + extension at a
            competitive hourly rate. If you have the required skills, DON'T DELAY, APPLY NOW please forward your resume to jobs@hitechaust.com quoting reference number LS0485 for
            further information. For more opportunities go to www.hitechaust.com
        
        HiTechLS0485 at:
 HiTech Personnel
 Level 9, 189 Kent Street, Sydney NSW 2000
 Ph 02 9241 1919 • Fax 02 9241 1731
 
      
    
  
 Progressive Government Department Initial 12 Month Contract + long term Extension Rewarding Hourly Rates $$ A highly regarded Federal Government Departments is looking to engage an experienced Data Scientist to join a highly skilled team involved in understanding business needs. You will be responsible for developing machine learning models and other analytical solutions to solve problems using data science techniques. The successful Data Scientist will be offered an Initial 12 month contract + Extension at a premium hourly rate. 

The successful Data Scientist will be responsible for, but not limited to ;  Using statistical and data mining techniques to analyse data to provide insights into current and emerging ML/TF risks and issues Developing, implementing, deploying, testing and evaluating machine learning models to model risk Conducting detailed analysis and other data to support the development of risk assessments Performing data wrangling and creating data pipelines, integrating diverse disparate datasets Appling advanced data science techniques i.e. machine learning, graph analytics, data visualisation, text analytics plus development of custom algorithms 
The successful Data Scientist must have experience in the following  Industry experience in development of big data analytics solutions using Scala and Apache Spark Demonstrated Industry experience in programming using one or more of R, Python or Scala in creating complex analytic models Knowledge and experience in delivering data science solutions to improve business outcomes Degree in data science (machine learning, artificial intelligence) or a related field e.g. applied mathematics, statistics, computer science is a bonus This is a rare opportunity for an experienced Data Scientist to join a reputable organisation. The successful Data Scientist will be offered an initial 12 Month Contract + extension at a competitive hourly rate. If you have the required skills, DON'T DELAY, APPLY NOW please forward your resume to jobs@hitechaust.com quoting reference number LS0485 for further information. For more opportunities go to www.hitechaust.com","Next","https://www.seek.com.au/data-scientist-jobs?page=2","11 Oct 2018","ACT","Contract/Temp","Science & Technology, Mathematics, Statistics & Information Sciences"
"1539827582-820","https://www.seek.com.au/data-scientist-jobs","Senior Product Designer","https://www.seek.com.au/job/37408934?type=standard","Fairfax Media","3.2 overall rating (179 employee reviews)","Senior Product Designer 
      
        
        We make products that stimulate and satisfy curious minds.
        At Fairfax Media, we believe curiosity makes the world a better place. As Australia's largest and most diverse media business we are currently going through a transformation where product innovation sits at the heart of how we connect our audience
          to the world around them.
        Do you have a passion for creating meaningful user interfaces, data visualisations, dashboards to help make data-driven decision making easier? As part of Product Design you will be joining an agile team of problem solvers, helping to concept,
          design and build world class digital products. In this newly created role, we're looking for the best ways to communicate data sets to our audiences and stakeholders. It is important that you can think strategically and communicate data-driven
          insights by transforming science and numbers into easily understandable visualisations. We believe that a good designer makes other designers great, so collaboration is core to our design philosophy. We also believe you will bring your own ideas
          to the table and create designs with purpose and rationale.
        As part of a dynamic design team covering all facets within product design, you will collaborate with a mix of data scientists, engineers and product managers, creating concepts, prototyping and iterating on ideas. Data gives us insights and helps
          drive our designs forward. With your skills and help, it will enable us to translate numbers into meaningful experiences. You will work with Product Management, Technology, and Data Insights teams to bring our product strategy and vision to
          life.
        You will be responsible for creating compelling and meaningful user experiences that solve real customer and business needs. Being supported by a passionate group of designers, you'd be given the autonomy to use your design and technical skills
          to work on any number of our digital publishing products throughout their complete lifecycle, from early concepts to delivery of detailed production design.
        You will be comfortable with seeking validation from both your peers, your squad, and our large and loyal audience.
        Responsibilities include but are not limited to:
        
          Designing dashboards and user interfaces for various platforms and stakeholders
          Producing guidelines, templates and frameworks for future data visualisation work
          The conception and definition of new product directions, visuals and experience
          Leading the product design process throughout the lifecycle of the product and producing supporting sketches, diagrams, screen layouts, and documentation describing the UI and interactions/experience and its rationale
          Build strong working relationships across Product and work effectively in cross-functional teams
          Contribute to team culture and knowledge sharing
        
        As the ideal candidate, you will possess:
        
          At least 5+ years of hands-on experience as a product designer ideally with experience working across native mobile application and complex responsive-web based services
          Excellent UI execution skills (including animation and micro interactions)
          A sophisticated understanding of typography and visual language
          Rock star skills with Sketch and other visual design applications
          Experience of any data visualization software would be great, particularly Google Data Studio or Tableau
          Good knowledge of wireframing and prototyping tools
          Strong understanding of native UI design patterns and components across multiple platforms
          Strong commitment to customer experience and service with a ""can do"" attitude
          Highly developed communication skills
          An inquisitive mind capable of taking ownership and provide strong rationale for design decisions
          Ability to work autonomously and engage with key stakeholders and teams as required.
        
        If this all sounds like you we would love to hear from you.
        Fairfax Media embraces all aspects of diversity & inclusion and is committed to creating a workplace which reflects the incredibly diverse customers, audiences and communities we serve.
        Disclaimer: Fairfax Media does not accept unsolicited agency resumes. Fairfax Media is not responsible for any fees related to unsolicited resumes.
      
       
    
    
  
We make products that stimulate and satisfy curious minds.At Fairfax Media, we believe curiosity makes the world a better place. As Australia's largest and most diverse media business we are currently going through a transformation where product innovation sits at the heart of how we connect our audience to the world around them.Do you have a passion for creating meaningful user interfaces, data visualisations, dashboards to help make data-driven decision making easier? As part of Product Design you will be joining an agile team of problem solvers, helping to concept, design and build world class digital products. In this newly created role, we're looking for the best ways to communicate data sets to our audiences and stakeholders. It is important that you can think strategically and communicate data-driven insights by transforming science and numbers into easily understandable visualisations. We believe that a good designer makes other designers great, so collaboration is core to our design philosophy. We also believe you will bring your own ideas to the table and create designs with purpose and rationale.As part of a dynamic design team covering all facets within product design, you will collaborate with a mix of data scientists, engineers and product managers, creating concepts, prototyping and iterating on ideas. Data gives us insights and helps drive our designs forward. With your skills and help, it will enable us to translate numbers into meaningful experiences. You will work with Product Management, Technology, and Data Insights teams to bring our product strategy and vision to life.You will be responsible for creating compelling and meaningful user experiences that solve real customer and business needs. Being supported by a passionate group of designers, you'd be given the autonomy to use your design and technical skills to work on any number of our digital publishing products throughout their complete lifecycle, from early concepts to delivery of detailed production design.You will be comfortable with seeking validation from both your peers, your squad, and our large and loyal audience.Responsibilities include but are not limited to:Designing dashboards and user interfaces for various platforms and stakeholdersProducing guidelines, templates and frameworks for future data visualisation workThe conception and definition of new product directions, visuals and experienceLeading the product design process throughout the lifecycle of the product and producing supporting sketches, diagrams, screen layouts, and documentation describing the UI and interactions/experience and its rationaleBuild strong working relationships across Product and work effectively in cross-functional teamsContribute to team culture and knowledge sharingAs the ideal candidate, you will possess:At least 5+ years of hands-on experience as a product designer ideally with experience working across native mobile application and complex responsive-web based servicesExcellent UI execution skills (including animation and micro interactions)A sophisticated understanding of typography and visual languageRock star skills with Sketch and other visual design applicationsExperience of any data visualization software would be great, particularly Google Data Studio or TableauGood knowledge of wireframing and prototyping toolsStrong understanding of native UI design patterns and components across multiple platformsStrong commitment to customer experience and service with a ""can do"" attitudeHighly developed communication skillsAn inquisitive mind capable of taking ownership and provide strong rationale for design decisionsAbility to work autonomously and engage with key stakeholders and teams as required.If this all sounds like you we would love to hear from you.Fairfax Media embraces all aspects of diversity & inclusion and is committed to creating a workplace which reflects the incredibly diverse customers, audiences and communities we serve.Disclaimer: Fairfax Media does not accept unsolicited agency resumes. Fairfax Media is not responsible for any fees related to unsolicited resumes.","Next","https://www.seek.com.au/data-scientist-jobs?page=13","8 Oct 2018","Sydney, CBD, Inner West & Eastern Suburbs","Full Time","Design & Architecture, Web & Interaction Design"
